,year,cons_damages,no_cons_damages,fair_temperatures_anomaly_rcp,diff,level_cons,level_no_cons,slope_cons,slope_no_cons
0,2015,0.0,0.0,0.18491824,0.0,0.0064874711869144066,0.00645669986243134,-0.023300931818143987,0.017074823096384
1,2016,0.0,0.0,0.19858900000000002,0.0,0.00885145786584534,0.008656133850590785,-0.017701355018200002,0.011675467780599996
2,2017,0.0,0.0,0.21393204,0.0,0.007933507348521824,0.007607175464693551,-0.028513103854047997,0.0025330826499999903
3,2018,0.0,0.0,0.23145127,0.0,0.008811758035181761,0.008242665177999566,-0.04981412753725,-0.002879976910448001
4,2019,0.0,0.0,0.25120172,0.0,0.008946138795091282,0.0087487660997705,-0.021751352209695998,-0.006221195890056
5,2020,-2.2930390772673767e-05,-6.622285986263715e-07,0.27355906,-2.2268162174047396e-05,0.012222368363611935,0.011818739883582131,-0.038734674912884,-0.0010234731029480082
6,2021,-5.6080838219608325e-05,2.0770269340067427e-05,0.30228451,-7.685110755967575e-05,0.014949085833598,0.014727463824045625,-0.05782112359596596,0.021434675125190004
7,2022,-7.762064758325138e-05,2.354661158571192e-05,0.33639038,-0.0001011672591689633,0.021383935724249514,0.02231972543740611,-0.063835756105448,0.01947443014746801
8,2023,-7.319691361497987e-05,4.399726743780155e-05,0.37241864,-0.00011719418105278143,0.026198444206704263,0.028587789720004475,-0.05339778081419197,0.03209432076697599
9,2024,-4.7703233652586496e-05,6.673668609089023e-05,0.40818807,-0.00011443991974347673,0.0332667588113191,0.03682069626106049,-0.03256945759474003,0.045328047865663995
10,2025,-2.126542429104622e-05,9.941007331813745e-05,0.43964854,-0.00012067549760918367,0.03604766904546909,0.04057309147475954,-0.01419584249422004,0.064721873007064
11,2026,-2.587018157866605e-05,8.208319014152421e-05,0.46747062,-0.00010795337172019026,0.038637896514395205,0.043066298627549335,-0.016715287087623987,0.05231982907265201
12,2027,7.799693471713387e-07,7.926997285773868e-05,0.49258384,-7.849000351056734e-05,0.044311815652726703,0.04761520216349497,0.0003663901968959937,0.050000016103488004
13,2028,3.121817529496557e-05,0.00011114403220718189,0.51769423,-7.992585691221632e-05,0.047057390107847694,0.05046907496845694,0.019383771067765995,0.06972818584249599
14,2029,1.6452533856049778e-05,0.00013280599942047666,0.54197508,-0.00011635346556442688,0.04564064630947752,0.05049344639752836,0.009994165608904065,0.083344547545656
15,2030,3.321436438788461e-06,0.00014976962462341648,0.56671721,-0.00014644818818462801,0.04815658474861077,0.054188797690030606,0.0016768030286279378,0.094363822820352
16,2031,8.597812505366231e-05,0.00018780108028164377,0.59224176,-0.00010182295522798146,0.060577874080210314,0.06471678404053699,0.05421384620576,0.11904643342505601
17,2032,0.00012527427062672403,0.00019319605730318268,0.61996651,-6.792178667645865e-05,0.07457373566266591,0.07746806026501334,0.07986907649433,0.123439167792892
18,2033,0.00012481517374486606,0.00020255272090223542,0.65214825,-7.773754715736936e-05,0.0757843441237244,0.07946171449950015,0.08020998395380004,0.13049188041909998
19,2034,0.0001461966016324534,0.00019093295264055454,0.69004375,-4.473635100810114e-05,0.08777730986090876,0.09034304690263749,0.09494444211499999,0.12413700142874998
20,2035,0.000204334437632403,0.00022047003903512274,0.72790456,-1.6135601402719746e-05,0.09958843778527879,0.10067492974310414,0.13399610768984,0.14462084133593597
21,2036,0.00020035166371520918,0.00023304867584418576,0.76758552,-3.269701212897658e-05,0.1030962750269285,0.10569857260159378,0.132532550390832,0.154259332298592
22,2037,0.0002046971085970517,0.000238484721343038,0.80400944,-3.3787612745986295e-05,0.11009703518943037,0.11311518028311567,0.136642318003904,0.159296141741728
23,2038,0.00022404949174301136,0.00024374923956052563,0.84043378,-1.9699747817514268e-05,0.13089267810540456,0.13284023789704716,0.150983126540084,0.164309133267528
24,2039,0.0002256047433164543,0.0002533196440840102,0.87366557,-2.7714900767555894e-05,0.14756862595715645,0.1504558989504327,0.1533703281432,0.17228046656203402
25,2040,0.0001966754895114109,0.00025793153964856486,0.90470022,-6.125605013715396e-05,0.15215394501718027,0.1586175265839251,0.13478659818802802,0.17693552338276003
26,2041,0.00019310755746759778,0.00026661035867356353,0.93437839,-7.350280120596575e-05,0.1643071835822431,0.17198430778803858,0.133445505146976,0.184437210841746
27,2042,0.00021330609352240848,0.0002982726198237362,0.96507698,-8.496652630132773e-05,0.1839926842705201,0.19277499886879937,0.14861009983992798,0.208027307345564
28,2043,0.0002221288213813677,0.0003277556021564765,0.99776345,-0.00010562678077510879,0.19484132816863495,0.2057369603642004,0.15596256511146997,0.23040766559622
29,2044,0.00025397995180748145,0.0003502971616301809,1.0333689,-9.631720982269942e-05,0.20817568368892722,0.2184884774243313,0.17976839349197998,0.24817626925948
30,2045,0.00028827835623401743,0.0003699671489463263,1.0744785,-8.168879271230889e-05,0.22688185189086651,0.23645908585258565,0.20565421256849997,0.264110498473
31,2046,0.0003066388481675897,0.00040203288113715985,1.1183776,-9.539403296957016e-05,0.2407290393289504,0.2532398242535375,0.22033169404736003,0.28909198640448003
32,2047,0.0003309847438771052,0.0004170433420229158,1.1648836,-8.605859814581063e-05,0.25945833849761074,0.2723036448308062,0.23959782452992,0.30208058032656004
33,2048,0.0003591153590146168,0.00043740534457326063,1.2102482,-7.828998555864386e-05,0.27677858902855024,0.28991421798905714,0.26180560565684,0.31904417988508
34,2049,0.00038938611107852683,0.00046218285836685524,1.2513832,-7.279674728832841e-05,0.3007255533796673,0.3139889186367857,0.28587838800928,0.33946936816896
35,2050,0.0003956127349265537,0.000486099162746112,1.2878665,-9.048642781955829e-05,0.31616380048064247,0.3334416731850184,0.2923998072778,0.3594618448546
36,2051,0.00042181011707176364,0.0005154936630698548,1.3228704,-9.368354599809114e-05,0.3424866233553632,0.3607222803917904,0.31383989482048,0.38372469306688
37,2052,0.00043920248670908935,0.0005166148111834801,1.3569617,-7.741232447439073e-05,0.3656205403904229,0.3808071823153032,0.32890866829880006,0.38701775177532005
38,2053,0.00044155071824636405,0.0005396595350642963,1.3909743,-9.810881681793227e-05,0.39069836832118576,0.41008952520788755,0.3327411411133201,0.40684556883932
39,2054,0.0004438287654716655,0.0005567034093564294,1.427058,-0.00011287464388476387,0.40988117053374,0.43259815936103063,0.3365515667396,0.4223390158364
40,2055,0.0004892563259475957,0.0005771811657642734,1.4669782,-8.792483981667765e-05,0.44226681355522385,0.46063084335155025,0.37329344185695995,0.44051697538775997
41,2056,0.0005066627937716506,0.0005941911209111916,1.5105731000000002,-8.752832713954106e-05,0.45684731113594523,0.4763190255911264,0.3888633981614001,0.45617647318976007
42,2057,0.0005254733291897296,0.0006227165078748209,1.5536563,-9.724317868509136e-05,0.48275161913156345,0.5054993207159232,0.4055992019708201,0.48080689733016
43,2058,0.0005721750507743373,0.0006485260915134461,1.5969106000000002,-7.635104073910881e-05,0.5189439851661171,0.5375479824054535,0.44429744552148,0.5036923104645601
44,2059,0.000597128824021631,0.0006754783813844867,1.6401457999999998,-7.834955736285565e-05,0.5554812316069018,0.5754625154509849,0.4662902892226799,0.52757957070444
45,2060,0.0006020373736680407,0.0006884496972223708,1.6801840000000001,-8.641232355433015e-05,0.5858787851579395,0.6086400070832201,0.4727092229936001,0.5406736878703999
46,2061,0.0006261552110795598,0.0007142808729396766,1.7180898,-8.812566186011672e-05,0.6201764924523898,0.6439636887672007,0.49433287264732,0.56401890930388
47,2062,0.0006400627394876901,0.0007323461986804558,1.7547654,-9.22834591927657e-05,0.6546860258059244,0.6799371198101031,0.5079263067945999,0.58127260963116
48,2063,0.0006319746662342141,0.0007457907878982706,1.7917816999999998,-0.00011381612166405652,0.6663701730816747,0.6978151691817345,0.50412861616424,0.5950603585063399
49,2064,0.0006433849030500483,0.0007562798133969872,1.8294802,-0.00011289491034693899,0.6998072014410875,0.7309634390261872,0.5158383321776401,0.60648432414104
50,2065,0.0006695812027097681,0.0007863309019104925,1.8687958999999998,-0.00011674969920072442,0.7336175208150963,0.7655670841964202,0.5395299572564198,0.6337334859096599
51,2066,0.0006819787425721424,0.0008167744941280919,1.9122813000000003,-0.00013479575155594947,0.7675248431398425,0.8047208150508063,0.5522259529994802,0.6615219506060601
52,2067,0.0007098702605810026,0.0008336465399236825,1.9585569999999999,-0.00012377627934267998,0.8139980818816068,0.8492002214799013,0.5775494928717999,0.6783801694978
53,2068,0.000740817110476355,0.0008512420903029616,2.0054991,-0.0001104249798266066,0.8658629092905303,0.8985182705119636,0.6055630237003201,0.69593362379606
54,2069,0.0007829739947419201,0.0008860964648083058,2.050241,-0.00010312247006638575,0.8972581793573731,0.9288974883372347,0.64308210517,0.7278760259304
55,2070,0.0008100376642097284,0.0009168942533062108,2.0919859,-0.00010685658909648232,0.9395436432389499,0.9733875356933527,0.6681681212326,0.75640719018388
56,2071,0.0008250276093059172,0.0009207983639460959,2.1304309,-9.57707546401787e-05,0.9764803531990424,1.0075571844501356,0.6836536535532199,0.7630969336949399
57,2072,0.0008482493833548155,0.0009391840099330917,2.1678905,-9.093462657827622e-05,1.0190040041933484,1.049188650541449,0.705950064576,0.7817064968523999
58,2073,0.0008678133834028046,0.0009639062309836355,2.2049757999999997,-9.609284758083092e-05,1.059685579294276,1.0922473212164054,0.72537340893536,0.8057732912237999
59,2074,0.0008932543742041776,0.0009887390842284738,2.2412639,-9.548471002429615e-05,1.103141382899632,1.1358822870011953,0.7498423287497399,0.83007349373856
60,2075,0.0009242209288866654,0.0010201746068592144,2.2778602,-9.595367797254895e-05,1.1490806482235705,1.1821781183738702,0.77898161295436,0.85993089574304
61,2076,0.0009389367661729597,0.001038222710015857,2.3146701000000003,-9.928594384289724e-05,1.200612264390169,1.2347994212782651,0.7946069857832001,0.87870530124648
62,2077,0.000972724908689937,0.0010703680512957892,2.3531532000000004,-9.764314260585216e-05,1.2547757769225034,1.2881526691162817,0.8264971702328802,0.9095317135172002
63,2078,0.0010155343966289365,0.0011132089712160287,2.3944728,-9.767457458709217e-05,1.3216600479776335,1.3551388296540405,0.8660425854416,0.9494061986392
64,2079,0.0010402640675610808,0.0011396758943980068,2.4381482999999995,-9.941182683692595e-05,1.378770607105095,1.4132495694173373,0.8906324101253398,0.9758108572001198
65,2080,0.0010579701522432927,0.0011651931899907542,2.4828563,-0.00010722303774746145,1.4218295499810232,1.4597328687267703,0.90906059821412,1.00126156051138
66,2081,0.001112891631738444,0.0012181408556561912,2.5269627999999997,-0.00010524922391774716,1.490327184365377,1.5282455094257008,0.9598867808682399,1.0507322521400797
67,2082,0.0011410686061086306,0.001248667067075493,2.5703447,-0.00010759846096686232,1.545058191358911,1.58467655859714,0.98777253387806,1.0809819479595402
68,2083,0.0011719735327115899,0.001277291745428455,2.6113617000000002,-0.00010531821271686503,1.5798490170578277,1.6192535189398332,1.0180544256575201,1.10960417265762
69,2084,0.0012007694691682502,0.001310372011098293,2.6515601,-0.00010960254193004282,1.6498825693129502,1.6917142598045565,1.0468019438299399,1.14241526783014
70,2085,0.001226358302746089,0.0013321475300764885,2.6891732000000004,-0.00010578922733039953,1.7097889352045468,1.750749583019945,1.0728601901255201,1.16546875828864
71,2086,0.0012387872210553041,0.0013491275146140236,2.7260993,-0.00011034029355871944,1.7490968480576,1.792538093603925,1.0877323341277,1.18468016316844
72,2087,0.0012664414023928483,0.0013835051249528885,2.7639617999999997,-0.00011706372256004016,1.8054711312281786,1.8519550343184472,1.1156401235448397,1.2188293145508
73,2088,0.0012880928679590564,0.00141508662436296,2.8028904999999997,-0.00012699375640390365,1.8793001352434715,1.9304771780826129,1.1385272528987997,1.2508443573487
74,2089,0.0013189776968607347,0.0014412066426634507,2.8446512000000004,-0.00012222894580271593,1.9453684929348656,1.9958061747772018,1.1697640474928002,1.2782303215968003
75,2090,0.0013625244161272754,0.0014866753910078856,2.8900495,-0.00012415097488061022,2.0323639104871476,2.0854380961480383,1.2125841211822999,1.3231375362064999
76,2091,0.0014061039623665117,0.0015268376663724048,2.9369428,-0.00012073370400589312,2.1135204903191944,2.167218907335039,1.25528562698328,1.3631312421966402
77,2092,0.001440100395771804,0.0015554097072163486,2.9857771,-0.0001153093114445447,2.197740026526892,2.2516590603958466,1.2897909026904,1.3931228346937599
78,2093,0.0014822700585290782,0.001598100880704667,3.0310009,-0.00011583082217558882,2.274610783773503,2.331042983243349,1.33185756361222,1.43599214126228
79,2094,0.0015072226421164459,0.0016288421171233303,3.0719117999999996,-0.00012161947500688441,2.3511233308897994,2.412072435220813,1.3586765117838797,1.4683694461394
80,2095,0.0015293516256065232,0.0016465131861194138,3.1100807,-0.00011716156051289062,2.4172413023249657,2.4766199283950785,1.3829965317454405,1.48900229926624
81,2096,0.0015564252528057487,0.0016731352307481906,3.1456673,-0.00011670997794244187,2.510009436128673,2.5690306855990093,1.41208483714036,1.51802583960764
82,2097,0.0015894489835206471,0.001709912405357894,3.1811016,-0.0001204634218372469,2.593551972252211,2.6541789472830732,1.4465121421585598,1.5561974666873597
83,2098,0.0016006992703543332,0.0017187494957475735,3.2164152,-0.00011805022539324028,2.6557908517071844,2.7178142758887183,1.4615464558,1.56938762536752
84,2099,0.0016315401912283534,0.001742333601423951,3.2537515,-0.00011079341019559763,2.728511460056203,2.789203740255572,1.4942167050061,1.595734263413
85,2100,0.0016806037867533874,0.001682453576714149,3.2942221,-1.849789960761683e-06,2.844589996008772,2.246757853912618,1.5441027437644,1.5458032298601196
86,2101,0.0017148667684891983,0.0017168820389854567,3.3374540999999995,-2.015270496258381e-06,2.941106669393614,2.336910483232867,1.58052630697798,1.5823847548364798
87,2102,0.0017485229676799108,0.001750690436350677,3.3790736000000003,-2.167468670766226e-06,3.037190325552535,2.4266433942181833,1.61646829033504,1.6184732241862403
88,2103,0.0017814056003433443,0.0017837113582075403,3.419374,-2.3057578641960674e-06,3.133175674038096,2.516289356763522,1.6520661268499999,1.6542057403759998
89,2104,0.0018132271110040676,0.0018156597617258186,3.4573275999999997,-2.4326507217509175e-06,3.2272106524682926,2.6039915344098983,1.6867448569748802,1.6890091866049595
90,2105,0.001842915296060177,0.0018454675696641942,3.4920127,-2.55227360401733e-06,3.3174824873785584,2.687935513258417,1.7199673950964802,1.7223508674590398
91,2106,0.0018720913943885975,0.0018747540654602268,3.5253726999999997,-2.662671071629319e-06,3.407087627421662,2.7712210888421196,1.7527639751821997,1.7552584970137002
92,2107,0.0019008956479358297,0.0019036572141115649,3.5579534,-2.7615661757351972e-06,3.4968850098952458,2.854704952462668,1.78542076904464,1.78801624329644
93,2108,0.0019306523615547633,0.0019334991264718937,3.5910778,-2.8467649171304288e-06,3.5892191122115493,2.9407343934745525,1.81867012912652,1.82135353611116
94,2109,0.0019609509682685378,0.001963866996760988,3.6255577000000003,-2.9160284924500957e-06,3.6856601687356343,3.03088403190485,1.8529766353669006,1.8557339523310605
95,2110,0.001992902165482313,0.0019958657952061643,3.6629464999999994,-2.9636297238511133e-06,3.789298634716286,3.1282472286710874,1.8892437241678992,1.8920551418230995
96,2111,0.0020282852339494895,0.0020312660177008723,3.7055364,-2.980783751382887e-06,3.9048908448035293,3.237585022463649,1.92882629796016,1.9316629342276002
97,2112,0.002063205910689092,0.002066196207249682,3.7464979,-2.9902965605899112e-06,4.019622875780875,3.346067774562508,1.9678413573432003,1.97069553518592
98,2113,0.002097128469646492,0.0021001166229006607,3.786258,-2.9881532541686795e-06,4.134184285801276,3.454381317488622,2.0065169829928,2.0093782003432
99,2114,0.0021285750207766796,0.0021315631886684727,3.821456,-2.9881678917931254e-06,4.241589465927902,3.5555293042182012,2.0428646136224002,2.045734710496
100,2115,0.002159141523992325,0.0021621225825834145,3.8554161,-2.981058591089436e-06,4.348261411173137,3.6559466341733167,2.0787891176658997,2.0816615646607595
101,2116,0.0021880252742327855,0.002190998691888879,3.8865314,-2.973417656093602e-06,4.450686929434108,3.752113277548114,2.1133171500096397,2.1161914474780796
102,2117,0.002217100748731937,0.002220059970170496,3.9168274,-2.9592214385587567e-06,4.552932875731752,3.8481015028953127,2.14762729183788,2.15049626502472
103,2118,0.002245266916162336,0.0022482002748667185,3.9469535000000002,-2.9333587043822718e-06,4.656345436124831,3.9452574431345644,2.182102285405,2.1849556741844003
104,2119,0.0022746414189338537,0.002277537605496427,3.9778898000000003,-2.8961865625731775e-06,4.763089055068279,4.045752735751709,2.21733542325728,2.22016126825916
105,2120,0.0023054168714073953,0.0023082488693457748,4.0120411,-2.8319979383795157e-06,4.878683954210048,4.155108465231873,2.25481386688892,2.25758639283478
106,2121,0.0023389276935716907,0.0023416650581964404,4.0500884,-2.7373646247497163e-06,5.005071681992919,4.275267020192858,2.2950017848243998,2.2976904915013603
107,2122,0.0023754567219516076,0.002378073236401157,4.0913129,-2.6165144495493564e-06,5.141057466053015,4.405033419669342,2.33750162151534,2.3400791383529
108,2123,0.002408305708265779,0.0024108097825834562,4.1280499,-2.504074317677407e-06,5.268828893096281,4.526572899176079,2.3775515493251795,2.3800265144463397
109,2124,0.0024407958060344015,0.002443176892986898,4.1645055,-2.381086952496503e-06,5.398028356861588,4.649538626414616,2.4177473929849,2.4201089202971
110,2125,0.002470729453882825,0.002473000226498101,4.196500299999999,-2.2707726152759733e-06,5.518373672249405,4.763638244743263,2.45542961609668,2.457689311092399
111,2126,0.002499705122323448,0.0025018734665067655,4.2253981,-2.168344183317572e-06,5.632767818311577,4.87177863168937,2.4914105275675196,2.4935747218071596
112,2127,0.002527270393039238,0.0025293302538642592,4.2536054000000005,-2.059860825021076e-06,5.746969069134659,4.979723606184718,2.527200946179121,2.52926385452768
113,2128,0.002554624310664444,0.0025565680747785535,4.281467,-1.9437641141095696e-06,5.861799521474554,5.088293714719187,2.5630163353022004,2.5649696467116003
114,2129,0.0025828535215488557,0.0025846654537655667,4.3106675,-1.811932216710943e-06,5.981607395814694,5.201843828384251,2.5999509198585,2.601778063642
115,2130,0.00261299171066387,0.00261464242206344,4.3431888,-1.6507113995700706e-06,6.111783922804166,5.325765554685715,2.63932668221344,2.6409972985567998
116,2131,0.0026488883008717323,0.0026503265501531814,4.3824492,-1.4382492814490888e-06,6.261904295903448,5.469637120845039,2.68345067196808,2.6849110013427198
117,2132,0.002683345960646122,0.0026845637299857117,4.4210496,-1.217769339589836e-06,6.412683955244331,5.614160022395824,2.72748144266752,2.72872259928704
118,2133,0.0027176654126011,0.0027186532296754606,4.4593763,-9.878170743604642e-07,6.5651223782221,5.760333610619213,2.77166767715024,2.7726785228259003
119,2134,0.0027505801602591973,0.0027513533706402526,4.4938101999999995,-7.732103810553781e-07,6.709017523227457,5.897952562704939,2.81356269986168,2.81435706065172
120,2135,0.0027796645448407986,0.002780240270782386,4.5241041,-5.757259415872795e-07,6.843193117364709,6.0258398864154525,2.8529480687580198,2.8535424651432195
121,2136,0.0028073553974978793,0.002807753010642955,4.550561900000001,-3.9761314507558154e-07,6.968045403697857,6.144399026817966,2.889974983430021,2.890387839997621
122,2137,0.0028323381546027093,0.0028325508030944135,4.5768938,-2.1264849170421485e-07,7.094015745746127,6.264071390689452,2.9271482351637204,2.92737158922052
123,2138,0.0028598505118475614,0.002859872006482078,4.603104599999999,-2.149463451672773e-08,7.221115711538414,6.384868168296449,2.9644704072747188,2.9644963234275195
124,2139,0.002886520221953681,0.002886339407533356,4.6298432,1.808144203252482e-07,7.351284609050265,6.508728375057688,3.0023905462937597,3.00220615365376
125,2140,0.0029153274915696414,0.002914926381315297,4.657988099999999,4.011102543444167e-07,7.487265738720498,6.638394256680583,3.0415329928462396,3.041118242475439
126,2141,0.0029436344240867385,0.002942979272184232,4.6894894,6.551519025066455e-07,7.6352482032164914,6.780050131325649,3.0832942560894803,3.0826117813732004
127,2142,0.002976779955335296,0.002975842343005297,4.7236037,9.376123299986716e-07,7.793336565725935,6.9318027424459725,3.1271886089958607,3.1262074195203198
128,2143,0.003007757047819304,0.0030065320215602043,4.757268900000001,1.225026259099593e-06,7.952178841691126,7.08429824641058,3.1710623421644604,3.1697746354798797
129,2144,0.003038952307701237,0.0030374330198768007,4.7908087,1.5192878244363328e-06,8.112771797665381,7.238535296702398,3.2151423681275,3.2135388618295
130,2145,0.0030705774814077103,0.003068763198375457,4.8230839,1.8142830322531722e-06,8.271403268475963,7.390796689395605,3.2586035232463204,3.25668204402834
131,2146,0.0030975448174341835,0.0030954546436730013,4.8523893,2.090173761182257e-06,8.422288889510066,7.535309526234981,3.3001855667433198,3.2979625888386597
132,2147,0.0031266967804892687,0.003124323060093026,4.8815650999999995,2.373720396242618e-06,8.574560885864013,7.681198630066318,3.3419307720936,3.3393976210161798
133,2148,0.0031538105199704347,0.003151158578202029,4.9092665,2.6519417684056634e-06,8.723666664397152,7.823912616181729,3.3828473726567,3.3800068459521
134,2149,0.0031806063149719677,0.0031776739043882785,4.9365706,2.9324105836892045e-06,8.873118155312527,7.966965486959973,3.4237124329440394,3.4205599260877997
135,2150,0.003207451461980426,0.0032042309154061144,4.964014499999999,3.220546574311811e-06,9.024739186549809,8.112177418400172,3.4649222213315,3.4614472252797
136,2151,0.0032360021823567564,0.0032324810411363814,4.9919667,3.521141220375057e-06,9.179849479861275,8.26086591346965,3.5067550151850195,3.5029433699411396
137,2152,0.0032649798645216777,0.003261128717701567,5.022603,3.8511468201107846e-06,9.346248845940156,8.420821795029477,3.5508602931032,3.54667607601
138,2153,0.0032964948699873986,0.003292268241287033,5.0574708,4.226628700365609e-06,9.529870187499228,8.597964369980652,3.5984459234264,3.5938363039564796
139,2154,0.0033312560941602953,0.0033266240290661386,5.0944419000000005,4.632065094156701e-06,9.723566968166622,8.785155893784715,3.64794421989104,3.64287598589628
140,2155,0.0033629812958970717,0.0033579576348596873,5.1291699,5.023661037384386e-06,9.91160348851143,8.966675525077717,3.69604697994146,3.69052998551832
