,discount_type,ssp,year,global_cons_constant_model_collapsed
281,constant_model_collapsed,SSP3,2020,129252283307119.88
282,constant_model_collapsed,SSP3,2021,133438781759047.3
283,constant_model_collapsed,SSP3,2022,137810561281902.88
284,constant_model_collapsed,SSP3,2023,142377423276384.88
285,constant_model_collapsed,SSP3,2024,147149757847038.7
286,constant_model_collapsed,SSP3,2025,152138584224126.44
287,constant_model_collapsed,SSP3,2026,155961367567281.0
288,constant_model_collapsed,SSP3,2027,159904668872190.0
289,constant_model_collapsed,SSP3,2028,163972947544871.12
290,constant_model_collapsed,SSP3,2029,168170851504198.25
291,constant_model_collapsed,SSP3,2030,172503226489657.16
292,constant_model_collapsed,SSP3,2031,175844495604288.94
293,constant_model_collapsed,SSP3,2032,179261342809958.5
294,constant_model_collapsed,SSP3,2033,182755716201347.06
295,constant_model_collapsed,SSP3,2034,186329619389619.25
296,constant_model_collapsed,SSP3,2035,189985113306012.06
297,constant_model_collapsed,SSP3,2036,192981075671825.2
298,constant_model_collapsed,SSP3,2037,196029733339098.6
299,constant_model_collapsed,SSP3,2038,199132120483814.88
300,constant_model_collapsed,SSP3,2039,202289293152061.38
301,constant_model_collapsed,SSP3,2040,205502329779220.7
302,constant_model_collapsed,SSP3,2041,208183556210493.1
303,constant_model_collapsed,SSP3,2042,210903148260447.38
304,constant_model_collapsed,SSP3,2043,213661752349356.4
305,constant_model_collapsed,SSP3,2044,216460027539270.88
306,constant_model_collapsed,SSP3,2045,219298645824932.8
307,constant_model_collapsed,SSP3,2046,221616441685438.7
308,constant_model_collapsed,SSP3,2047,223962863373954.56
309,constant_model_collapsed,SSP3,2048,226338388196874.44
310,constant_model_collapsed,SSP3,2049,228743503359462.7
311,constant_model_collapsed,SSP3,2050,231178706203161.2
312,constant_model_collapsed,SSP3,2051,233299625784911.12
313,constant_model_collapsed,SSP3,2052,235445971224308.12
314,constant_model_collapsed,SSP3,2053,237618195397537.38
315,constant_model_collapsed,SSP3,2054,239816761082924.56
316,constant_model_collapsed,SSP3,2055,242042141204133.72
317,constant_model_collapsed,SSP3,2056,244096901759190.2
318,constant_model_collapsed,SSP3,2057,246176311999802.84
319,constant_model_collapsed,SSP3,2058,248280829435116.5
320,constant_model_collapsed,SSP3,2059,250410921920579.12
321,constant_model_collapsed,SSP3,2060,252567067918406.12
322,constant_model_collapsed,SSP3,2061,254663958799882.7
323,constant_model_collapsed,SSP3,2062,256786865171144.75
324,constant_model_collapsed,SSP3,2063,258936279191390.47
325,constant_model_collapsed,SSP3,2064,261112704386866.0
326,constant_model_collapsed,SSP3,2065,263316655941422.88
327,constant_model_collapsed,SSP3,2066,265412058881479.66
328,constant_model_collapsed,SSP3,2067,267534118910479.56
329,constant_model_collapsed,SSP3,2068,269683351481490.3
330,constant_model_collapsed,SSP3,2069,271860284246804.12
331,constant_model_collapsed,SSP3,2070,274065457373847.06
332,constant_model_collapsed,SSP3,2071,276218726424605.8
333,constant_model_collapsed,SSP3,2072,278400394321345.66
334,constant_model_collapsed,SSP3,2073,280611016411705.38
335,constant_model_collapsed,SSP3,2074,282851161162068.4
336,constant_model_collapsed,SSP3,2075,285121410492403.6
337,constant_model_collapsed,SSP3,2076,287316759627791.75
338,constant_model_collapsed,SSP3,2077,289540692783834.8
339,constant_model_collapsed,SSP3,2078,291793760679372.7
340,constant_model_collapsed,SSP3,2079,294076526846845.5
341,constant_model_collapsed,SSP3,2080,296389567952848.44
342,constant_model_collapsed,SSP3,2081,298677592325088.5
343,constant_model_collapsed,SSP3,2082,300995428244356.6
344,constant_model_collapsed,SSP3,2083,303343632805454.44
345,constant_model_collapsed,SSP3,2084,305722775577599.4
346,constant_model_collapsed,SSP3,2085,308133438904072.1
347,constant_model_collapsed,SSP3,2086,310521404115446.06
348,constant_model_collapsed,SSP3,2087,312939678617661.5
349,constant_model_collapsed,SSP3,2088,315388803487793.56
350,constant_model_collapsed,SSP3,2089,317869331437347.06
351,constant_model_collapsed,SSP3,2090,320381827081861.75
352,constant_model_collapsed,SSP3,2091,322970784344267.8
353,constant_model_collapsed,SSP3,2092,325592159441410.06
354,constant_model_collapsed,SSP3,2093,328246505417970.75
355,constant_model_collapsed,SSP3,2094,330934386601307.1
356,constant_model_collapsed,SSP3,2095,333656378849644.5
357,constant_model_collapsed,SSP3,2096,336371542317240.5
358,constant_model_collapsed,SSP3,2097,339119668015817.0
359,constant_model_collapsed,SSP3,2098,341901292979833.75
360,constant_model_collapsed,SSP3,2099,344716964716523.4
361,constant_model_collapsed,SSP3,2100,346252358809231.4
362,constant_model_collapsed,SSP3,2101,347794591657385.9
363,constant_model_collapsed,SSP3,2102,349343693721294.2
364,constant_model_collapsed,SSP3,2103,350899695596936.06
365,constant_model_collapsed,SSP3,2104,352462628016568.06
366,constant_model_collapsed,SSP3,2105,354032521849330.3
367,constant_model_collapsed,SSP3,2106,355609408101856.4
368,constant_model_collapsed,SSP3,2107,357193317918885.5
369,constant_model_collapsed,SSP3,2108,358784282583878.0
370,constant_model_collapsed,SSP3,2109,360382333519632.8
371,constant_model_collapsed,SSP3,2110,361987502288908.25
372,constant_model_collapsed,SSP3,2111,363599820595045.56
373,constant_model_collapsed,SSP3,2112,365219320282594.9
374,constant_model_collapsed,SSP3,2113,366846033337944.2
375,constant_model_collapsed,SSP3,2114,368479991889951.2
376,constant_model_collapsed,SSP3,2115,370121228210577.9
377,constant_model_collapsed,SSP3,2116,371769774715527.8
378,constant_model_collapsed,SSP3,2117,373425663964886.44
379,constant_model_collapsed,SSP3,2118,375088928663764.2
380,constant_model_collapsed,SSP3,2119,376759601662942.3
381,constant_model_collapsed,SSP3,2120,378437715959521.9
382,constant_model_collapsed,SSP3,2121,380123304697575.44
383,constant_model_collapsed,SSP3,2122,381816401168801.5
384,constant_model_collapsed,SSP3,2123,383517038813182.4
385,constant_model_collapsed,SSP3,2124,385225251219644.25
386,constant_model_collapsed,SSP3,2125,386941072126721.0
387,constant_model_collapsed,SSP3,2126,388664535423220.06
388,constant_model_collapsed,SSP3,2127,390395675148892.3
389,constant_model_collapsed,SSP3,2128,392134525495104.06
390,constant_model_collapsed,SSP3,2129,393881120805512.3
391,constant_model_collapsed,SSP3,2130,395635495576743.4
392,constant_model_collapsed,SSP3,2131,397397684459073.8
393,constant_model_collapsed,SSP3,2132,399167722257115.06
394,constant_model_collapsed,SSP3,2133,400945643930500.94
395,constant_model_collapsed,SSP3,2134,402731484594577.8
396,constant_model_collapsed,SSP3,2135,404525279521098.44
397,constant_model_collapsed,SSP3,2136,406327064138918.3
398,constant_model_collapsed,SSP3,2137,408136874034695.7
399,constant_model_collapsed,SSP3,2138,409954744953594.4
400,constant_model_collapsed,SSP3,2139,411780712799989.8
401,constant_model_collapsed,SSP3,2140,413614813638177.9
402,constant_model_collapsed,SSP3,2141,415457083693087.6
403,constant_model_collapsed,SSP3,2142,417307559350996.3
404,constant_model_collapsed,SSP3,2143,419166277160248.4
405,constant_model_collapsed,SSP3,2144,421033273831977.3
406,constant_model_collapsed,SSP3,2145,422908586240830.75
407,constant_model_collapsed,SSP3,2146,424792251425698.1
408,constant_model_collapsed,SSP3,2147,426684306590443.3
409,constant_model_collapsed,SSP3,2148,428584789104638.44
410,constant_model_collapsed,SSP3,2149,430493736504302.75
411,constant_model_collapsed,SSP3,2150,432411186492643.44
412,constant_model_collapsed,SSP3,2151,434337176940800.44
413,constant_model_collapsed,SSP3,2152,436271745888594.44
414,constant_model_collapsed,SSP3,2153,438214931545278.4
415,constant_model_collapsed,SSP3,2154,440166772290291.9
416,constant_model_collapsed,SSP3,2155,442127306674019.3
417,constant_model_collapsed,SSP3,2156,444096573418551.25
418,constant_model_collapsed,SSP3,2157,446074611418449.06
419,constant_model_collapsed,SSP3,2158,448061459741513.56
420,constant_model_collapsed,SSP3,2159,450057157629556.3
421,constant_model_collapsed,SSP3,2160,452061744499174.6
422,constant_model_collapsed,SSP3,2161,454075259942530.0
423,constant_model_collapsed,SSP3,2162,456097743728130.6
424,constant_model_collapsed,SSP3,2163,458129235801616.3
425,constant_model_collapsed,SSP3,2164,460169776286547.44
426,constant_model_collapsed,SSP3,2165,462219405485197.94
427,constant_model_collapsed,SSP3,2166,464278163879350.75
428,constant_model_collapsed,SSP3,2167,466346092131097.5
429,constant_model_collapsed,SSP3,2168,468423231083641.94
430,constant_model_collapsed,SSP3,2169,470509621762106.2
431,constant_model_collapsed,SSP3,2170,472605305374341.25
432,constant_model_collapsed,SSP3,2171,474710323311740.94
433,constant_model_collapsed,SSP3,2172,476824717150059.1
434,constant_model_collapsed,SSP3,2173,478948528650231.25
435,constant_model_collapsed,SSP3,2174,481081799759198.94
436,constant_model_collapsed,SSP3,2175,483224572610738.4
437,constant_model_collapsed,SSP3,2176,485376889526292.6
438,constant_model_collapsed,SSP3,2177,487538793015807.6
439,constant_model_collapsed,SSP3,2178,489710325778571.7
440,constant_model_collapsed,SSP3,2179,491891530704058.44
441,constant_model_collapsed,SSP3,2180,494082450872774.8
442,constant_model_collapsed,SSP3,2181,496283129557111.2
443,constant_model_collapsed,SSP3,2182,498493610222196.1
444,constant_model_collapsed,SSP3,2183,500713936526755.25
445,constant_model_collapsed,SSP3,2184,502944152323973.06
446,constant_model_collapsed,SSP3,2185,505184301662359.44
447,constant_model_collapsed,SSP3,2186,507434428786619.44
448,constant_model_collapsed,SSP3,2187,509694578138527.3
449,constant_model_collapsed,SSP3,2188,511964794357803.75
450,constant_model_collapsed,SSP3,2189,514245122282998.5
451,constant_model_collapsed,SSP3,2190,516535606952375.2
452,constant_model_collapsed,SSP3,2191,518836293604801.0
453,constant_model_collapsed,SSP3,2192,521147227680640.44
454,constant_model_collapsed,SSP3,2193,523468454822652.5
455,constant_model_collapsed,SSP3,2194,525800020876892.7
456,constant_model_collapsed,SSP3,2195,528141971893617.44
457,constant_model_collapsed,SSP3,2196,530494354128194.94
458,constant_model_collapsed,SSP3,2197,532857214042017.9
459,constant_model_collapsed,SSP3,2198,535230598303421.44
460,constant_model_collapsed,SSP3,2199,537614553788604.6
461,constant_model_collapsed,SSP3,2200,540009127582556.75
462,constant_model_collapsed,SSP3,2201,542414366979986.75
463,constant_model_collapsed,SSP3,2202,544830319486257.9
464,constant_model_collapsed,SSP3,2203,547257032818325.44
465,constant_model_collapsed,SSP3,2204,549694554905679.5
466,constant_model_collapsed,SSP3,2205,552142933891291.7
467,constant_model_collapsed,SSP3,2206,554602218132565.9
468,constant_model_collapsed,SSP3,2207,557072456202292.9
469,constant_model_collapsed,SSP3,2208,559553696889610.8
470,constant_model_collapsed,SSP3,2209,562045989200967.7
471,constant_model_collapsed,SSP3,2210,564549382361089.9
472,constant_model_collapsed,SSP3,2211,567063925813954.1
473,constant_model_collapsed,SSP3,2212,569589669223764.5
474,constant_model_collapsed,SSP3,2213,572126662475932.8
475,constant_model_collapsed,SSP3,2214,574674955678063.6
476,constant_model_collapsed,SSP3,2215,577234599160945.1
477,constant_model_collapsed,SSP3,2216,579805643479542.1
478,constant_model_collapsed,SSP3,2217,582388139413994.8
479,constant_model_collapsed,SSP3,2218,584982137970621.8
480,constant_model_collapsed,SSP3,2219,587587690382927.5
481,constant_model_collapsed,SSP3,2220,590204848112613.9
482,constant_model_collapsed,SSP3,2221,592833662850597.5
483,constant_model_collapsed,SSP3,2222,595474186518029.6
484,constant_model_collapsed,SSP3,2223,598126471267321.6
485,constant_model_collapsed,SSP3,2224,600790569483176.4
486,constant_model_collapsed,SSP3,2225,603466533783621.4
487,constant_model_collapsed,SSP3,2226,606154417021048.8
488,constant_model_collapsed,SSP3,2227,608854272283259.0
489,constant_model_collapsed,SSP3,2228,611566152894509.1
490,constant_model_collapsed,SSP3,2229,614290112416566.9
491,constant_model_collapsed,SSP3,2230,617026204649767.5
492,constant_model_collapsed,SSP3,2231,619774483634076.9
493,constant_model_collapsed,SSP3,2232,622535003650158.8
494,constant_model_collapsed,SSP3,2233,625307819220446.9
495,constant_model_collapsed,SSP3,2234,628092985110221.9
496,constant_model_collapsed,SSP3,2235,630890556328692.8
497,constant_model_collapsed,SSP3,2236,633700588130083.6
498,constant_model_collapsed,SSP3,2237,636523136014724.8
499,constant_model_collapsed,SSP3,2238,639358255730149.1
500,constant_model_collapsed,SSP3,2239,642206003272192.6
501,constant_model_collapsed,SSP3,2240,645066434886101.2
502,constant_model_collapsed,SSP3,2241,647939607067641.1
503,constant_model_collapsed,SSP3,2242,650825576564214.4
504,constant_model_collapsed,SSP3,2243,653724400375980.6
505,constant_model_collapsed,SSP3,2244,656636135756981.6
506,constant_model_collapsed,SSP3,2245,659560840216273.2
507,constant_model_collapsed,SSP3,2246,662498571519060.9
508,constant_model_collapsed,SSP3,2247,665449387687839.8
509,constant_model_collapsed,SSP3,2248,668413347003541.8
510,constant_model_collapsed,SSP3,2249,671390508006686.6
511,constant_model_collapsed,SSP3,2250,674380929498537.0
512,constant_model_collapsed,SSP3,2251,677384670542261.1
513,constant_model_collapsed,SSP3,2252,680401790464098.6
514,constant_model_collapsed,SSP3,2253,683432348854532.5
515,constant_model_collapsed,SSP3,2254,686476405569466.1
516,constant_model_collapsed,SSP3,2255,689534020731405.0
517,constant_model_collapsed,SSP3,2256,692605254730645.1
518,constant_model_collapsed,SSP3,2257,695690168226464.6
519,constant_model_collapsed,SSP3,2258,698788822148323.0
520,constant_model_collapsed,SSP3,2259,701901277697063.6
521,constant_model_collapsed,SSP3,2260,705027596346122.9
522,constant_model_collapsed,SSP3,2261,708167839842743.8
523,constant_model_collapsed,SSP3,2262,711322070209196.9
524,constant_model_collapsed,SSP3,2263,714490349744003.6
525,constant_model_collapsed,SSP3,2264,717672741023168.0
526,constant_model_collapsed,SSP3,2265,720869306901411.6
527,constant_model_collapsed,SSP3,2266,724080110513416.0
528,constant_model_collapsed,SSP3,2267,727305215275068.6
529,constant_model_collapsed,SSP3,2268,730544684884716.0
530,constant_model_collapsed,SSP3,2269,733798583324422.0
531,constant_model_collapsed,SSP3,2270,737066974861230.8
532,constant_model_collapsed,SSP3,2271,740349924048436.5
533,constant_model_collapsed,SSP3,2272,743647495726858.5
534,constant_model_collapsed,SSP3,2273,746959755026121.9
535,constant_model_collapsed,SSP3,2274,750286767365943.6
536,constant_model_collapsed,SSP3,2275,753628598457424.8
537,constant_model_collapsed,SSP3,2276,756985314304348.5
538,constant_model_collapsed,SSP3,2277,760356981204483.4
539,constant_model_collapsed,SSP3,2278,763743665750893.0
540,constant_model_collapsed,SSP3,2279,767145434833251.5
541,constant_model_collapsed,SSP3,2280,770562355639164.1
542,constant_model_collapsed,SSP3,2281,773994495655494.5
543,constant_model_collapsed,SSP3,2282,777441922669698.1
544,constant_model_collapsed,SSP3,2283,780904704771160.0
545,constant_model_collapsed,SSP3,2284,784382910352540.6
546,constant_model_collapsed,SSP3,2285,787876608111125.9
547,constant_model_collapsed,SSP3,2286,791385867050184.6
548,constant_model_collapsed,SSP3,2287,794910756480331.2
549,constant_model_collapsed,SSP3,2288,798451346020894.4
550,constant_model_collapsed,SSP3,2289,802007705601292.4
551,constant_model_collapsed,SSP3,2290,805579905462413.8
552,constant_model_collapsed,SSP3,2291,809168016158005.5
553,constant_model_collapsed,SSP3,2292,812772108556066.0
554,constant_model_collapsed,SSP3,2293,816392253840244.5
555,constant_model_collapsed,SSP3,2294,820028523511247.5
556,constant_model_collapsed,SSP3,2295,823680989388250.9
557,constant_model_collapsed,SSP3,2296,827349723610318.1
558,constant_model_collapsed,SSP3,2297,831034798637825.4
559,constant_model_collapsed,SSP3,2298,834736287253892.2
560,constant_model_collapsed,SSP3,2299,838454262565819.9
561,constant_model_collapsed,SSP3,2300,842188798006534.5
